feature,importance
lag1_incidencia,0.8712989917480127
lag3_incidencia,0.05485872846111062
lag2_incidencia,0.0336150077057492
mes,0.019359637391381093
log_habitantes,0.007325186583690954
uf_CE,0.004020446415134568
regiao_NORDESTE,0.00378963396463136
uf_SP,0.0010407014640437275
uf_PB,0.0007640077463045838
uf_RN,0.000754517832314677
uf_RR,0.0003933716850052864
regiao_SUL,0.0003830385076883791
uf_BA,0.00037302053350276297
uf_RS,0.00030801247908589344
uf_GO,0.00021569989815590744
regiao_NORTE,0.00020305116366137977
lag1_taxa_ecoli,0.0001670646988366253
uf_MG,0.00016502352599861777
lag1_taxa_coliformes,0.00013365686398952574
uf_SC,0.0001221015080348142
uf_PE,0.0001016103649411509
uf_AM,0.00010113319565435046
uf_TO,9.872959394455624e-05
taxa_ecoli,9.249484639132932e-05
taxa_coliformes,8.614070026971298e-05
uf_SE,7.402460019187811e-05
uf_AP,3.750888512596815e-05
regiao_SUDESTE,3.6209403507943535e-05
uf_PR,2.3936857814499042e-05
regiao_CENTRO-OESTE,2.043768975556074e-05
uf_MA,1.2871386462445883e-05
uf_MT,1.2641920480426591e-05
uf_ES,1.1360379127445151e-05
uf_MS,0.0
uf_AL,0.0
uf_AC,0.0
uf_PA,0.0
uf_RO,0.0
uf_PI,0.0
uf_RJ,0.0
